,t,x,vx,y,vy,theta,alpha
70,17.567894583329835,17.567894583329835,5.05411356644887,-48.99152582913459,-34.006976190217266,0.06243570834411662,0.08726646259971647
71,17.820626018174664,17.820626018174664,5.055143878979666,-50.70412914121668,-34.497156642950166,0.06246814990519897,0.08726646259971647
72,18.073408976284835,18.073408976284835,5.056174494961347,-52.44124152793796,-34.98733916628141,0.0625002889475409,0.08726646259971647
73,18.326243472523416,18.326243472523416,5.057205402127092,-54.202863091422,-35.47752370433547,0.06253213368813154,0.08726646259971647
74,18.579129521156588,18.579129521156588,5.058236588860797,-55.988993931054324,-35.9677102034458,0.06256369201997734,0.08726646259971647
75,18.832067135885104,18.832067135885104,5.059268044154654,-57.799634143589955,-36.45789861204112,0.06259497152872157,0.08726646259971647
76,19.08505632987371,19.08505632987371,5.060299757569991,-59.6347838232555,-36.94808888053881,0.06262597950822366,0.08726646259971647
77,19.338097115778684,19.338097115778684,5.0613317192011,-61.49444306184607,-37.43828096124495,0.06265672297517459,0.08726646259971647
78,19.591189505773652,19.591189505773652,5.062363919641754,-63.37861194881731,-37.928474808260475,0.06268720868281814,0.08726646259971647
79,19.84433351157375,19.84433351157375,5.063396349954235,-65.28729057137295,-38.418670377393084,0.06271744313384221,0.08726646259971647
80,20.097529144458353,20.097529144458353,5.0644290016406055,-67.22047901454803,-38.90886762607437,0.06274743259249901,0.08726646259971647
81,20.350776415292362,20.350776415292362,5.065461866616075,-69.17817736128814,-39.399066513281916,0.06277718309600834,0.08726646259971647
82,20.604075334546252,20.604075334546252,5.0664949371842685,-71.16038569252486,-39.889266999465974,0.06280670046529363,0.08726646259971647
83,20.857425912314913,20.857425912314913,5.067528206014242,-73.16710408724765,-40.37946904648036,0.0628359903150967,0.08726646259971647
84,21.110828158335366,21.110828158335366,5.068561666119109,-75.1983326225724,-40.86967261751735,0.06286505806351335,0.08726646259971647
85,21.36428208200348,21.36428208200348,5.069595310836143,-77.25407137380675,-41.3598776770463,0.06289390894098894,0.08726646259971647
86,21.617787692389697,21.617787692389697,5.070629133808241,-79.33432041451256,-41.85008419075564,0.0629225479988097,0.08726646259971647
87,21.871344998253885,21.871344998253885,5.071663128966643,-81.43907981656542,-42.34029212549819,0.06295098011712322,0.08726646259971647
88,22.124954008059344,22.124954008059344,5.0726972905148,-83.56834965021162,-42.83050144923942,0.06297921001251869,0.08726646259971647
89,22.378614729986037,22.378614729986037,5.073731612913321,-85.72212998412246,-43.32071213100858,0.06300724224519542,0.08726646259971647
